nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
DGE : Prensa Gobierno de Mendoza Prensa Gobierno de Mendoza DGE Energía Joven 2025;Encuentro;Asamblea;Nacional - Regional (NOA);Anual;Educación;2025-09-01;2025-09-12;Casa de Gobierno de Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/educacion-cultura-infancias-dge/dge/
Jornada de deporte, música, arte y tradición;Jornada;Congresos y Convenciones;Desconocido;Único;Deporte, música, arte y tradición;2025-09-15;2025-09-15;Biblioteca Popular Mariano Moreno;Académico;Comunidad educativa de Jóvenes y Adultos;https://www.mendoza.edu.ar/2025/09/15/
Feria Provincial del Libro Mendoza 2025;Congreso;CONGRESOS Y CONVENCIONES;Provincial;Irregular;Literatura;2025-09-26;2025-09-30;Casa de Gobierno de Mendoza;Corporativo;Prensa Gobierno;https://www.mendoza.edu.ar/2025/09/30/
Primeras Jornadas Proyección FCE;Jornada;Congresos y Convenciones;Provincial;Único;Ciencias Económicas;2025-09-24;2025-09-25;Univesidad de Mendoza;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/la-facultad-de-ciencias-economicas-lanza-las-primeras-jornadas-proyeccion-fce-para-impulsar-el-futuro-profesional/
Encuentro para visibilizar la ELA: saberes compartidos y compromiso en salud pública;Encuentro;CONGRESOS Y CONVENCIONES;Ns/NC;Único;Esclerosis Lateral Amiotrófica;2025-09-12;2025-09-12;Hospital Universitario Mendoza;Corporativo;Asociación ELA Argentina en conjunto con la Facultad de Ciencias Médicas y el Hospital Universitario;https://fcm.uncuyo.edu.ar/encuentro-para-visibilizar-la-ela-saberes-compartidos-y-compromiso-en-salud-publica
Undercode Day 2025;Exposición;Ferias y Exposiciones;Local;Unico;Cultura digital;2025-09-06;2025-09-07;Espacio Arizu;Corporativo;Gobierno de Mendoza;https://www.godoycruz.gob.ar/undercode-day-2025-la-expo-cultura-digital-vuelve-al-espacio-arizu/
Gran Mendoza Resiliente al Calor Urbano;Jornada;CONGRESOS Y CONVENCIONES;Nacional;Único;Calor urbano;2025-10-01;1970-01-01;Casa de Gobierno de Mendoza;Académico;Gobierno de Mendoza;https://www.godoycruz.gob.ar/godoy-cruz-sera-sede-del-evento-gran-mendoza-resiliente-al-calor-urbano-organizado-cippec/
Mendoza Finance Prep Workshop;Exposición;FERIAS Y EXPOSICIONES;Local;Único;Finanzas;2025-09-23;2025-09-23;Universidad de Mendoza (UM);Corporativo;Consejo Profesional de Ciencias Económicas de Mendoza;https://cpcemza.org.ar/C1018_mendoza-finance-prep-workshop
Congreso de Educación Integral;Congreso;Desconocida;Local;Único;Desafíos de la formación y la actualización docente en los contextos actuales;2025-09-05;2025-09-05;Instituto de Educación Superior (IES) 9-024 Lavalle;Gubernamental;Prensa Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/se-desarrollara-el-14-congreso-de-educacion-integral/
Congreso Provincial Matemática 5.0;Congreso;Congresos y Convenciones;Nacional/Regional (NOA);Único;Matemática;2025-09-29;2025-09-29;Univesidad de Mendoza;Académico;Universidad de Mendoza;https://www.mendoza.edu.ar/2025/09/29/
Jornada abierta de networking;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Único;Nanotecnología;2025-09-18;2025-09-18;Universidad del Aconcagua;Asociativo;Fundación Argentina de Nanotecnología;https://www.uncuyo.edu.ar/ciencia_tecnica_y_posgrado/fanuncuyo2025
Premio Edificar 2025;Jornada;Congresos y Convenciones;Local;Irregular;Arquitectura;2025-05-05;2025-12-31;Universidad Nacional de Cuyo (UNCUYO);Asociativo;Universidad Nacional de Cuyo;https://ingenieria.uncuyo.edu.ar/estudiantes-de-arquitectura-fueron-galardonadas-en-el-premio-edificar-2025
Expo y Foro Industrial 2025;Exposición;FERIAS Y EXPOSICIONES;Nacional;Irregular;Producción sostenible;2025-01-01;2025-01-01;Universidad de Mendoza (UM);Gubernamental;Prensa Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/produccion/
Primer Congreso Nacional de Educación y Malvinas;Congreso;Desconocida;Nacional;Único;Cuestión Malvinas;2025-10-17;2025-10-18;Univesidad de Mendoza;Desconocida;Universidad de Mendoza;https://www.umaza.edu.ar/se-parte-del-primer-congreso-nacional-educacion-y-malvinas
Transición Energética;Congreso;Desconocida;Nacional - Regional (NOA);Irregular;Energía Y Ambiente;2025-01-01;2025-01-01;Centro de Congresos y Exposiciones Francisco;Sin categoría;Prensa Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/energia-y-ambiente/energia-y-mineria/transicion-energetica/
Expo Foro 2025 Mendoza Industrial;Exposición;Congresos y Convenciones;Nacional - Regional (Mendoza);Único;producción sostenible;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Académico;Directorio General de Escuelas (Gobierno de Mendoza);https://www.mendoza.edu.ar/expo-foro-2025-mendoza-industrial/
Encuentro Provincial de Teatro Breve;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Bienal;Cultura;2025-09-09;2025-09-17;Universidad Nacional de Cuyo (UNCUYO);Académico;Universidad Nacional de Cuyo;https://www.mendoza.edu.ar/2025/09/09/
Desconocido;Congreso y Convención;Congreso y Convención;Nacional - Regional (Mendoza);Único;Emprendimiento;2025-09-05;2025-01-01;Hotel Intercontinental Mendoza Guaymallen;Corporativo;Gobierno de Mendoza;https://www.guaymallen.gob.ar/guaymallen-sede-del-bootcamp-empresarial-mas-de-500-participantes-participan-del-encuentro-que-promueve-la-profesionalizacion/
Redes de Gobierno y Ciudades Inteligentes 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Trimestral;Ciencias históricas y sociales;2025-09-23;2025-09-25;Universidad Nacional de Cuyo (UNCUYO);Corporativo;Universidad Nacional de Cuyo;https://www.uncuyo.edu.ar/vinculacion/presentaron-radar-uncuyo-en-el-encuentro-redes-de-gobierno-y-ciudades-inteligentes-2025
RAAA67;Congreso;Congresos Y Convenciones;Nacional - Regional (Cuyo);Irregular;Astronomía;2025-09-15;2025-09-19;Observatorio Pierre Auger;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/la-astronomia-se-reune-en-mendoza-llega-la-67a-edicion-de-la-raaa/
Encuentro sobre el Arbolado;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Desconocida;Arbolado público y privado;2025-09-12;2025-01-01;Centro de Congresos y Exposiciones San Martín;Académico;Colegio de Arquitectos de Mendoza (CAMZA) - Regional Este;https://camza.org.ar/charla-en-la-regional-este-encuentro-sobre-nuestro-arbolado/
Foro Industrial Mendoza 2025: Producción Sostenible;Congreso;Congresos y Convenciones;Nacional;Unico;Energía;2025-09-02;2025-09-04;Casa de Gobierno de Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/en-el-foro-industrial-cornejo-puso-en-valor-la-matriz-productiva-y-la-infraestructura-como-motores-del-crecimiento/
La Casa de la Mirada 2025;Congreso;Congresos y Convenciones;Provincial;Único;Arquitectura y territorio;2025-09-09;2025-09-15;Universidad de Congreso;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/la-casa-de-la-mirada-2025-cerro-una-semana-dedicada-a-arquitectura-y-territorio-en-la-universidad-de-congreso/
Sexto Encuentro de Formacin – Lederes de Asistencia;Encuentro;Congresos y Convenciones;Nacional - Regional (NOA);Único;Educación;2025-09-26;2025-09-26;DGE Educación de Nivel Primario;Gubernamental;DGE;https://www.mendoza.edu.ar/memorandum-245-primaria-sexto-encuentro-de-formacion-lideres-de-asistencia-2025/
Segundo Encuentro Formativo;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Único;Educación;2025-09-16;2025-09-16;Universidad Nacional de Cuyo (UNCUYO);Académico;Universidad Nacional de Cuyo;https://www.mendoza.edu.ar/memorandum-234-primaria-segundo-encuentro-formativo-programa-queremos-aprender-2025/
Encuentro Regional de FAUATS;Encuentro;Congresos y Convenciones;Nacional - Regional (Cuyo);Único;Trabajo Social en movimiento: disputas y revisiones en tiempos de ajuste e interpelación de lo público. Condiciones para la formación y el ejercicio profesional;2025-09-05;2025-09-06;Universidad Nacional de Cuyo (UNCUYO);Asociativo;Facultad de Ciencias Políticas y Sociales - UNCuyo (Facultad de Ciencias Políticas y Sociales - UNCuyo);https://fcp.uncuyo.edu.ar/encuentro-regional-de-fauats-region-cuyo
Segundo Encuentro Presencial Propuesta Formativa de Alfabetización;Encuentro;Congresos y Convenciones;NS/NC;Único;Alfabetización;2025-09-29;2025-09-29;Mendoza TIC Parque Tecnológico;Académico;Mendoza.edu.ar;https://www.mendoza.edu.ar/memorandum-249-primaria-nomina-de-asistencia-segundo-encuentro-presencial-propuesta-formativa-de-alfabetizacion/
Primer Encuentro Presencial Propuesta Formativa de Alfabetización;Encuentro;Congresos y Convenciones;Nacional - Regional (Litoral);Único;Educación;2025-09-29;2025-09-29;Memorándum 231-Primaria;Gubernamental;Gobierno de Mendoza;https://www.mendoza.edu.ar/memorandum-231-primaria-nomina-de-asistencia-primer-encuentro-presencial-propuesta-formativa-de-alfabetizacion/
Encuentros de Propuesta Formativa en Alfabetización;Encuentro;Congresos y Convenciones;Desconocido;Único;Educación;2025-01-01;2025-12-31;Casa de Gobierno de Mendoza;Asociativo;Gobierno de Mendoza;https://www.mendoza.edu.ar/memorandum-250-primaria-rectificacion-calendario-encuentros-de-propuesta-formativa-en-alfabetizacion-2025/
Congreso Provincial Matemática 5.0;Congreso;Congreso Provincial Matemática 5.0;Nacional - Regional (Litoral);Único;Matemática;2025-01-01;2025-09-29;Univesidad de Mendoza;Asociativo;Universidad de Mendoza;https://www.mendoza.edu.ar/memorandum-16-dir-planificacion-rectificatoria-memorandum-no-15-informar-sobre-el-congreso-provincial-matematica-5-0/
IV Congreso Provincial de Educación en Primera Infancia;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Único;La infancia en el centro;2025-09-17;2025-09-17;Universidad Nacional de Cuyo (UNCUYO);Gubernamental;Municipalidad de Guaymallén;https://www.guaymallen.gob.ar/el-17-de-septiembre-se-realizara-el-iv-congreso-provincial-de-educacion-en-primera-infancia/
VI Congreso Interamericano de Prevención Cardiovascular , IV Congreso OSEP y Salud , 17º Simposio Cuyano de Enfermedad Cardiovascular en la Mujer, VI Cardiometabolismo Tour;Congreso;CONGRESOS Y CONVENCIONES;Local;Único;Prevención cardiovascular, cardio-oncología, diabetes como factor de riesgo, hipertensión arterial, obesidad infantil y adulta, avances en imágenes cardiovasculares;2025-10-02;2025-10-04;Univesidad de Mendoza;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/la-universidad-de-mendoza-reafirma-su-compromiso-con-la-formacion-medica-y-la-prevencion-cardiovascular/
Universidad Abierta 2026;Encuentro;CONGRESOS Y CONVENCIONES;No aplicable;Único;Educación;2025-09-08;2026-01-01;Universidad de Congreso;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/mendoza-universidad-abierta-2026/
Congreso Nacional de Educación;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Educación;2025-09-10;2025-09-10;Arena Maipú;Asociativo;Municipalidad de Maipú;https://www.maipu.gob.ar/maipu-fue-sede-del-congreso-nacional-de-educacion-con-docentes-de-toda-la-provincia/
Congreso Tarpuy Horizontes educativos;Congreso;Desconocida;Desconocido;Anual;educación;2025-09-06;2025-01-01;Arena Maipú;Académico;Asociación Tarpuy. Cultura, educación y formación en perspectiva de derechos;https://educacion.uncuyo.edu.ar/estudiantes-de-la-facultad-pueden-inscribirse-gratis-a-congreso-tarpuy
VII Congreso Nacional de Ergonomía;Congreso;CONGRESOS Y CONVENCIONES;Desconocido;Único;Ergonomía;2025-09-25;2025-09-26;Hilton Mendoza;Académico;Colegio de Abogados y Procuradores de la Primera Circunscripción Judicial de Mendoza;https://colabogmza.com.ar/invitan-al-vii-congreso-nacional-de-ergonomia/
eCommerce GO Mendoza 2025;Congreso;Congresos y convenciones;Ns/Nc;Único;Digital;2025-09-18;2025-09-18;Teatro Independencia;Cultural;Cámara Argentina de Comercio Electrónico;https://www.eventbrite.com.ar/e/ecommerce-go-mendoza-2025-tickets-1601350716099
Nuevas carreras 2026 en Villa Dolores;Jornada;Congresos y Convenciones;Nacional - Regional (Centro);Único;Educación;2025-09-24;2026-01-01;Universidad de Congreso;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/acto-de-presentacion-nuevas-carreras-2026-en-villa-dolores/
MDA 2025;Congreso;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Arquitectura;2025-09-03;2025-09-05;Nave Cultural;Académico;Colegio de Arquitectos de Mendoza (CAMZA);https://camza.org.ar/revivi-el-mda-2025-en-nuestro-canal-de-youtube/
Conferencia Ordenamiento Territorial y Reducción del Riesgo de Desastres en Mendoza - Argentina;Congreso;Desconocida;Local;Único;Ordenamiento Territorial y Reducción del Riesgo de Desastres;2024-06-07;2024-06-07;Universidad Nacional de Cuyo (UNCUYO);Académico;Universidad Nacional de Cuyo;https://ffyl.uncuyo.edu.ar/conferencia-ordenamiento-territorial-y-reduccion-del-riesgo-de-desastres-en-mendoza-argentina
PMI TOUR 2025 Nuevo Cuyo Andino;Event Deportivo Internacional;FUERA DEL ALCANTE DEL OETR;Nacional;Único;Deporte y ocio;2025-09-12;2025-01-01;Universidad Nacional de Cuyo (UNCUYO);Asociativo;PMI Nuevo Cuyo Argentina Chapter;https://www.eventbrite.com.ar/e/pmi-tour-2025-nuevo-cuyo-andino-tickets-1557767256799
II Coloquio Nacional Literatura Argentina del siglo XIX;Congreso;Congresos y convenciones;Nacional - Regional (Patagonia);Único;Literatura Argentina del siglo XIX;2025-04-21;2025-04-25;Universidad Nacional de Cuyo (UNCUYO);Académico;Universidad Nacional de Cuyo;https://ffyl.uncuyo.edu.ar/comienza-el-ii-coloquio-nacional-literatura-argentina-del-siglo-xix
Expo y Foro 2025 Mendoza Industrial: Producción Sostenible;Exposición;FERIAS Y EXPOSICIONES;Nacional - Regional (Mendoza);Irregular;Producción Sostenible, Tecnología, Innovación;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Corporativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/estudiantes-participaron-de-la-expo-foro-2025-mendoza-industrial-produccion-sostenible/
Panel de Políticas Públicas para el Desarrollo;Conferencia;CONGRESOS Y CONVENCIONES;Desconocido;Anual;Desarrollo industrial;2025-01-01;2025-01-01;Espacio Cultural Julio Le Parc;Corporativo;Desconocida;https://www.mendoza.gov.ar/prensa/vargas-arizu-participo-del-panel-de-politicas-publicas-para-el-desarrollo-en-la-expo-foro-2025-mendoza-industrial/
Expo Foro 2025;Exposición;Congresos y Convenciones;Regional;Único;Producción Sostenible;2025-09-02;2025-09-04;Centro cultural Pascual Lauriente - Municipalidad de Guaymallén;Industrial;Gobierno de Mendoza;https://www.guaymallen.gob.ar/guaymallen-sede-de-la-expo-foro-2025-cornejo-y-calvente-pusieron-a-la-industria-en-el-centro-de-la-agenda-productiva/
Expo Foro 2025;Exposición;FERIAS Y EXPOSICIONES;Desconocido;Único;Negocios, Tecnología, Vinos, Turismo y Gastronomía;2025-09-17;2025-12-15;Centro cultural Pascual Lauriente - Municipalidad de Guaymallén;Corporativo;Instituto de Desarrollo Industrial, Tecnológico y de Servicios (IDITS);https://ecocuyo.com/nota/149103/expo-foro-2025-mas-de-300-pymes-de-mendoza-conectaron-con-las-principales-empresas-de-argentina/
Expo y Foro Industrial Mendoza 2025;Feria;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Producción Sostenible;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Corporativo;"Gobierno de Mendoza
Municipalidad de Guaymallén
ASINMET
FEM
UIM
CAFIM
CAMEM
UNCuyo
CAEM
ADIMRA
CAME
INTI
CAPMIN";https://mendoza.puntoapunto.com.ar/este-martes-comienza-el-expo-y-foro-industrial-mendoza-2025-produccion-sostenible-aqui-el-programa-completo/
Expo Caprina del Este;Exposición;Congresos y convenciones;Nacional - Regional (Patagonia);Unico;Cultura;2024-09-26;2024-09-27;Universidad de Mendoza (UM);Asociativo;Municipio de La Paz;https://lapazmendoza.gob.ar/2025-sep-la-paz-prepara-la-segunda-edicion-de-su-expo-caprina-del-este/
Foro de Inversiones y Negocios 2025;Encuentro;Congresos y Convenciones;Desconocido;Único;Negocios;2025-03-06;2025-03-06;Casa de Gobierno de Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/archivo/page/259/
Antropologia Filosofica. Textos y problemas II: ¿piensa la Inteligencia Artificial?;SEMINARIO;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);UNICO;ANTROPOLOGIA FILOSOFICA;2025-10-09;2025-10-30;Universidad Nacional de Cuyo (UNCUYO);ACADÉMICO;Universidad Nacional de Cuyo;https://ffyl.uncuyo.edu.ar/antropologia-filosofica-textos-y-problemas-ii-piensa-la-inteligencia-artificial
Simposio LUZ 2025;Simposio;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Luz y Luminotecnia;2025-09-10;2025-10-12;Universidad del Aconcagua;Académico;Asociación Argentina de Luminotecnia (AADL) en conjunto con el Instituto del Hábitat del CONICET Mendoza (INAHE);https://ingenieria.uncuyo.edu.ar/cursos/item/simposio-luz-2025
XII Simposio de ADEISE;Simposio;CONGRESOS Y CONVENCIONES;Nacional;Único;Las monarquías europeas en perspectiva mundial. Origen, apogeo y decadencia;2025-10-29;2025-10-31;Universidad Nacional de Cuyo (UNCUYO);Académico;ADEISE;https://ffyl.uncuyo.edu.ar/xii-simposio-de-adeise-asociacion-de-estudios-interdisciplinarios-sobre-europa-las-monarquias-europeas-en-perspectiva-mundial-origen-apogeo-y-decadencia
Esclerosis Lateral Amiotrófica (ELA): salud, ciencia y comunidad;Jornada;Congresos y Convenciones;Nacional - Uno;Unico;Salud;2025-09-12;2025-09-12;Universidad de Mendoza (UM);Académico;Asociación ELA Argentina;https://fcm.uncuyo.edu.ar/cursos/item/esclerosis-lateral-amiotrofica-ela-salud-ciencia-y-comunidad
Jornada de Medicina Tradicional China;Jornada;Desconocida;Desconocido;Único;Medicina Tradicional China: enfoques complementarios en salud;2025-10-15;2025-10-15;Universidad de Mendoza (UM);Académico;Facultad de Ciencias Médicas de la UNCUYO;https://fcm.uncuyo.edu.ar/cursos/item/medicina-tradicional-china-enfoques-complementarios-en-salud
Convenio con la Sociedad Dante Alighieri para realizar actividades educativas en conjunto;Convención;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Único;lengua, cultura y tradiciones de Italia;2025-09-02;2025-09-02;Universidad de Mendoza (UM);Educacional;Instituto Tecnológico Universitario de la UNCUYO;https://itu.uncuyo.edu.ar/convenio-con-la-sociedad-dante-alighieri-para-realizar-actividades-educativas-en-conjunto
