nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
Programa de Fortalecimiento de Capacidades de Gestión Estratégica;Congreso;Desconocida;Nacional;Único;Industria;2025-08-01;2025-11-30;Mendoza TIC Parque Tecnológico;Corporativo;Ministerio de Producción de Mendoza y Asociación de Parques Industriales Argentinos (APIA);https://www.mendoza.gov.ar/prensa/mendoza-fortalece-la-gestion-estrategica-de-sus-parques-industriales-con-un-programa-integral-de-capacitacion/
Jornadas para promover conductas responsables en adolescentes;Jornada;Ferias y Exposiciones;Nacional - Regional (Litoral);Único;Promoción de la salud y prevención de riesgos en adolescentes;2025-08-29;2025-08-29;Auditorio Ángel Bustelo;Gubernamental;Ministerios de Seguridad y Justicia, de Educación y de Salud;https://www.mendoza.gov.ar/prensa/realizaran-jornadas-para-promover-conductas-responsables-en-adolescentes/
Capacitacin Jornada de Actualizacin Empresaria FEM Federacin Econmica de Mendoza;Jornada;CONGRESOS Y CONVENCIONES;Desconocido;Único;Tecnologa;2025-08-01;2025-01-01;Centro de Congresos y Exposiciones Francisco;Corporativo;Desconocida;https://femza.org.ar/project/jornada-de-actualizacion-empresaria/
Terceras Jornadas de Nutrición;Congreso;Congresos y Convenciones;Local;Único;Nutrición;2025-08-13;2025-08-13;Hospital Lagomaggiore;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/terceras-jornadas-de-nutricion-en-el-lagomaggiore/
Jornadas de Aeroevacuación Médica del Sur Mendocino;Congreso;Congresos y Convenciones;Local;Único;Académico;2025-01-01;2025-01-01;Universidad de Mendoza (UM);Asociativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/salud-y-seguridad-capacitaran-al-personal-de-emergencias-del-sur-mendocino-en-aeroevacuacion/
Jornadas Federales de IA;Congreso;CONGRESOS Y CONVENCIONES;Local;Único;Inteligencia Artificial y Derecho;2025-08-21;2025-08-28;Portal Alameda;Académico;Colegio de Abogados y Procuradores de la Primera Circunscripción Judicial de Mendoza;https://colabogmza.com.ar/colegio-de-abogados-organizo-jornadas-federales-de-ia/
Bootcamp Empresarial Mendoza 2025;Congreso;Congresos y Convenciones;Nacional - Región (Mendoza);Único;Empresa e Innovación;2025-09-05;2025-09-05;Hilton Mendoza;Corporativo;Ministerio de Producción del Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/bootcamp-empresarial-mendoza-2025-una-alianza-publico-privada-para-potenciar-el-talento-y-la-innovacion/
Encuentro formativo zona Sur;Encuentro formativo;Congresos y Convenciones;Nacional;Ns/Nc;Desconocido;2025-08-19;2025-08-22;Asosiación de Trabajadores de la Sanidad Argentina (ATSA);Académico;DGE;https://www.mendoza.edu.ar/2025/08/19/
Social Media Day;Congreso;Congresos y convenciones;Nacional;Anual;Tendencias digitales y futuro digital;2025-08-07;2025-08-09;Centro de Congresos y Exposiciones;Corporativo;Digital Interactivo;https://www.mendoza.gov.ar/prensa/vuelve-a-mendoza-el-social-media-day/
Jornadas de Capacitación Vial;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Desconocida;Infraestructura vial;2025-08-28;2025-08-29;Universidad Nacional de Cuyo (UNCUYO);Desconocida;Dirección Provincial de Vialidad - Facultad de Ingeniería de la Universidad Nacional de Cuyo - Asociación Argentina de Carreteras;https://www.guaymallen.gob.ar/calvente-ofrecio-detalles-de-la-remodelacion-del-acceso-este-en-las-jornadas-de-capacitacion-vial/
Desarrollo Regional;Congreso;CONGRESOS Y CONVENCIONES;Regional;Unico;Cooperación Policial;2025-08-01;2025-08-01;Universidad de Mendoza (UM);Público;Policía de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-y-san-luis-refuerzan-la-cooperacion-policial-y-avanzan-en-controles-interprovinciales/
Será en una jornada académica programada para el viernes 28 de noviembre;Jornada;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Reforma al Estatuto del Empleado Público;2025-11-28;2025-10-28;Instituto San Pedro Nolasco;Académico;Colegio de Abogados y Procuradores;https://colabogmza.com.ar/category/cursos-capacitaciones/
Jornadas Académicas 2025;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Transformaciones en la educación superior;2025-08-22;2025-08-22;No tengo suficiente información para determinar la sede correcta.;Académico;Facultad de Artes y Diseño;https://fad.uncuyo.edu.ar/jornadas-academicas-2025-un-espacio-para-construir-colectivamente-el-presente-y-futuro-de-la-fad
22° Jornadas Anuales de Investigación del Aconcagua;Congreso;Congresos y convenciones;Local;Único;Investigación;2025-08-26;2025-08-28;Centro Integrador Universitario;Científico;La Universidad del Aconcagua;https://www.uda.edu.ar/index.php/categoria-uda/1747-22-jornadas-anuales-de-investigacion-26-27-y-28-de-agosto
XX Jornadas Nacionales y IX Internacionales de la Enseñanza de la Historia;CONGRESOS Y CONVENCIONES;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Anual;Historia y su enseñanza entre lo instituido y lo instituyente;2025-10-02;2025-10-04;Espacio de la Ciencia y la Tecnología (UNCuyo);ACADÉMICO;Universidad Nacional de Córdoba;https://ffyl.uncuyo.edu.ar/cursos/item/xx-jornadas-nacionales-y-ix-internacionales-de-la-ensenanza-de-la-historia-la-historia-y-su-ensenanza-entre-lo-instituido-y-lo-instituyente-retos-desafios-y-combates
Foro Industrial 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Innovación y Sostenibilidad;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Corporativo;Federación Económica de Mendoza;https://femza.org.ar/project/foro-industrial-2025-mendoza-debate-el-futuro-productivo-con-eje-en-la-innovacion-y-la-sostenibilidad/
Encuentro Anual de AFORA;Encuentro;CONGRESOS Y CONVENCIONES;Nacional;Anual;Educación odontológica;2025-09-19;2025-09-20;Hilton Mendoza;Académico;La Asociación de Facultades de Odontología de la República Argentina (AFORA);https://www.fodonto.uncuyo.edu.ar/encuentro-anual-afora-2025
;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Educación Financiera;2025-08-06;2025-08-07;Hotel Termas de Cacheuta;Académico;Facultad de Ciencias Económicas;https://fce.uncuyo.edu.ar/jornadas-sobre-educacion-financiera-para-docentes
Jornadas de Jóvenes Investigadores AUGM;Jornada;CONGRESOS Y CONVENCIONES;Local;Anual;Educación y ciencia;2025-08-20;2025-11-07;Hotel Termas de Cacheuta;Academico;Universidad Nacional de Cuyo (UNCUYO);https://www.uncuyo.edu.ar/ciencia_tecnica_y_posgrado/jornadas-de-jovenes-investigadores-augm-la-uncuyo-vivio-su-instancia-preparatoria
Nueva capacitación en primeros auxilios, reanimación cardiopulmonar y obstrucción de vías aéreas;Jornada;Congresos y Convenciones;Desconocido;Único;Emergencia;2025-08-29;2025-08-29;Universidad de Mendoza (UM);Gubernamental;Desconocida;https://www.mendoza.gov.ar/prensa/nueva-capacitacion-en-primeros-auxilios-rcp-y-ova-para-personal-del-ministerio-de-energia-y-ambiente/
3° Mesa Federal de Organización y Administración de Juicio por Jurados;Jornada;Congresos y convenciones;Nacional - Regional (Patagonia);Único; Derecho;2025-08-13;2025-08-14;Polo Judicial de Mendoza.;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/argentina-3-mesa-federal-de-organizacion-y-administracion-de-juicio-por-jurados-2025/
"Charla ""El crédito en materia de Riesgos del Trabajo""";Congreso;Asamblea;Local;Único;Derecho Laboral;2023-08-05;2023-08-05;Hilton Mendoza;Asociativo;"""Colegio de Abogados y Procuradores""";https://colabogmza.com.ar/eventos/charla-el-credito-en-materia-de-riesgos-del-trabajo/
Mendoza Coopera 2025;Encuentro;Congresos y convenciones;Nacional - Regional (NOA);Desconocida;Cooperativismo;2025-01-01;2025-08-01;Teatro Independencia;Asociativo;La Escuela Osvaldo Pinto;https://www.mendoza.edu.ar/la-escuela-osvaldo-pinto-participo-del-encuentro-mendoza-coopera-2025/
Expo y Foro Industrial Mendoza 2025: Producción Sostenible;Feria;Congresos y Convenciones;Regional;Irregular;Industrial;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Asociativo;Gobierno de Mendoza, ASINMET, FEM, Municipalidad de Guaymallén;https://www.mendoza.gov.ar/prensa/mendoza-se-prepara-para-el-expo-foro-industrial-2025-produccion-sostenible/
Encuentro Formativo- Producción oral y escrita;Encuentro;Congresos y Convenciones;Provincial;Único;Producción oral y escrita;2025-01-19;2025-08-19;Universidad de Mendoza (UM);Corporativo;Enseñanza Pública;https://www.mendoza.edu.ar/memorandum-198-primaria-encuentro-formativo-produccion-oral-y-escrita-2025/
Primer Encuentro en Alfabetización-Presencial-Cohorte 2;Encuentro;Congresos y Convenciones;Nacional - Regional (Centro);Único;Educación;2025-08-13;2025-08-13;Facultad Don Bosco de Enología y Ciencias de la Alimentación;Corporativo;Dirección de Educación Privada;https://www.mendoza.edu.ar/memorandum-190-primaria-primer-encuentro-en-alfabetizacion-presencial-cohorte-2-2025/
Encuentro;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Educación;2025-09-01;2025-09-30;Facultad Don Bosco de Enología y Ciencias de la Alimentación;Académico;Dirección de Educación Primaria;https://www.mendoza.edu.ar/memorandum-211-primaria-calendario-encuentros-programas-septiembre-octubre-2025/
Enfocando el Calendario Julio-Agosto 2025;Congreso;Congresos y Convenciones;Provicional;Semestral;Educación;2025-07-01;2025-08-31;Asosiación de Trabajadores de la Sanidad Argentina (ATSA);Gubernamental; Educación Pública de Mendoza;https://www.mendoza.edu.ar/memorandum-163-primaria-ratificar-calendario-de-encuentros-julio-agosto-2025/
2do Encuentro – Aulas que sienten, docentes que acompañan;Encuentro;Congresos y Convenciones;Desconocido;Único;Aulas que sienten, docentes que acompañan;2025-08-27;2025-08-27;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Educación Elemental y Especial;Asociativo;DGE;https://www.mendoza.edu.ar/memorandum-154-dir-planificacion-2do-encuentro-aulas-que-sienten-docentes-que-acompanan-2025/
Encuentro formativo zona Sur;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Irregular;Tema;2025-08-19;2025-01-01;Universidad de Mendoza (UM);Asociativo;Gubernamental;https://www.mendoza.edu.ar/memorandum-144-dir-planificacion-encuentro-formativo-zona-sur-taller-de-secuencias-de-alfabetizacion-avanzada-2025/
Encuentro Binacional de Innovación Pública y Gobierno Digital;Encuentro;Asamblea;Local;Único;Innovación Pública y Gobierno Digital;2025-08-19;2025-08-20;La Enoteca;Académico;Gobierno de Mendoza y Consulado General de Chile en Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-sera-sede-del-encuentro-binacional-de-innovacion-publica-y-gobierno-digital/
Congreso de Educación Física 2025;Congreso;CONGRESOS Y CONVENCIONES;Internacional - Iberoamérica;Único;Educación Física;2025-08-12;2025-08-14;Teatro Independencia;Corporativo;Municipio de Guaymallên;https://www.mendoza.gov.ar/prensa/cornejo-abrio-el-congreso-de-educacion-fisica-2025-la-educacion-y-el-deporte-son-claves-para-el-desarrollo-integral-de-mendoza/
Encuentro Binacional de Innovación Pública y Gobierno Digital;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Transformación digital e innovación pública;2025-08-19;2025-08-20;La Enoteca;Corporativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/con-gran-participacion-comenzo-el-encuentro-binacional-de-innovacion-publica-y-gobierno-digital/
Expo Educativa Mendoza 2025;Exposición;Congresos y Convenciones;Local;Único;Orientación vocacional y oferta académica;2025-08-07;2025-08-08;Nave Cultural;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/la-universidad-de-congreso-te-invita-a-la-expo-educativa-mendoza-2025-caminos-por-descubrir/
Congreso Nacional de Matemática;Congreso;Congresos y Convenciones;Nacional;Único;Matemática;2025-10-21;2025-10-22;Universidad de Mendoza (UM);Académico;Dirección General de Escuelas (DGE);https://www.mendoza.gov.ar/prensa/dge-convoca-a-talleristas-para-el-congreso-nacional-de-matematica-2025/
Encuentro del Consejo General de Educación de Mendoza;Encuentro;Congresos y Convenciones;Provincial;Único;Educación secundaria;2025-08-13;2025-08-31;Universidad de Mendoza (UM);Corporativo;Consejo General de Educación de Mendoza;https://www.mendoza.gov.ar/prensa/la-legislatura-provincial-fue-epicentro-de-un-nuevo-encuentro-del-consejo-general-de-educacion-de-mendoza/
Hackathon H2O UNCUYO 2025;Hackathon;Congresos y convenciones;Local;Único;Agua;2025-08-08;2025-08-08;Escuela Valentín Bonetti de Godoy Cruz;Académico;Secretaría de Investigación, Internacionales y Posgrado de la Universidad Nacional de Cuyo;https://www.uncuyo.edu.ar/prensa/la-uncuyo-lanza-el-primer-hackathon-de-agua-en-mendoza
Primer Congreso Regional “Mujeres de fuerzas de seguridad ciudadana”;Congreso;Congresos y Convenciones;Provincial; Único;Mujeres en fuerzas de seguridad;2025-08-22;2025-08-22;Universidad de Mendoza (UM);Asociativo;IUSP;https://www.mendoza.gov.ar/prensa/rus-destaco-la-integracion-regional-y-el-liderazgo-femenino-en-seguridad-en-cuyo/
6º Foro de Origen e Identidad Gastronómica;Foro;Congresos y Convenciones;Local;Anual;Gastronomía;2025-09-09;2025-09-10;Centro de Congresos y Exposiciones de San Rafael;Corporativo;Emetur y AEHGA;https://www.mendoza.gov.ar/prensa/mendoza-se-prepara-para-el-6-foro-de-origen-e-identidad-gastronomica/
Hotelga;Congreso;Congresos y convenciones;Regional - Nacion (Cuyo);Una vez al año;Turismo y hotelaria;2025-08-27;2025-08-29;Bodega La Rural;Corporativo;Federación Empresaria Hotelera Gastronómica de la República Argentina (FEHGRA) y la Asociación de Hoteles de Turismo de la República Argentina (AHT);https://www.mendoza.gov.ar/prensa/mendoza-dijo-presente-en-hotelga-2025/
Congreso Nacional de Matemática 2025;Congreso;Congresos y Convenciones;Nacional;Único;Matemática;2025-10-21;2025-10-22;Universidad de Mendoza (UM);Académico;DGE;https://www.mendoza.edu.ar/dge-convoca-a-talleristas-para-el-congreso-nacional-de-matematica-2025/
Encuentro Binacional de Innovación Pública y Gobierno Digital - Transformación Digital;Encuentro;CONGRESOS Y CONVENCIONES;Nacional;Único;Transformación digital;2025-08-19;2025-08-20;La Enoteca;Corporativo;Universidad Nacional de Cuyo;https://www.uncuyo.edu.ar/transformaciondigital/la-uncuyo-participara-del-encuentro-binacional-de-innovacion-publica-y-gobierno-digital
Wine Expo;Exposición;FERIAS Y EXPOSICIONES;Regional - Mendoza;Único;Vino y turismo enogastronómico;2025-08-15;2025-08-16;Hilton Mendoza;Asociativo;Wine of Mendoza (WOM) con el apoyo de Hilton;https://www.guaymallen.gob.ar/guaymallen-dijo-presente-en-la-wine-expo-2025-la-gran-feria-del-vino-en-mendoza/
Bootcamp Empresarial Mendoza;Encuentro;Congresos y Convenciones;Provincial;Único;Liderazgo empresarial;2025-09-05;2025-09-05;Hilton Mendoza;Academico;Subsecretaría de Empleo y Capacitación;https://www.mdzol.com/mdz-lab/bootcamp-empresarial-mendoza-2025-encuentro-clave-potenciar-el-talento-n1318424
Nueva reunión del Consejo Tributario Mendoza;Congreso;CONGRESOS Y CONVENCIONES;NS/NC;NS/NC;Digitalización;2025-08-22;2025-08-22;Centro Cívico de San Carlos;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/nueva-reunion-del-consejo-tributario-mendoza-con-foco-en-digitalizacion-catastro-y-articulacion-interinstitucional/
Congreso de Educación Física 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Educación Física;2025-08-13;2025-08-15;Centro cultural Pascual Lauriente - Municipalidad de Guaymallén;Gubernamental;Gobierno de Mendoza;https://www.mendoza.edu.ar/el-gobernador-alfredo-cornejo-abrio-el-congreso-de-educacion-fisica-2025/
Congreso de Matemática 2025;Congreso;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Ciencias naturales y exactas;2025-10-21;2025-10-22;Universidad Nacional de Cuyo (UNCUYO);Académico;Dirección de Planificación de la Calidad Educativa DGE;https://www.mendoza.edu.ar/convocatoria-a-talleres-para-el-congreso-de-matematica-2025/
Primer Encuentro en Alfabetización-Presencial-Cohorte 2 (2025);Encuentro;CONGRESOS Y CONVENCIONES;Desconocido;Desconocida;Educación;2025-08-13;2025-10-31;Facultad Don Bosco de Enología y Ciencias de la Alimentación;Desconocida;Inspección Técnica General, Inspecciones Técnicas Regionales, Inspecciones Técnicas Seccionales.;https://www.mendoza.edu.ar/2025/08/13/
Encuentro Presente y Futuro de la Profesión;Encuentro;CONGRESOS Y CONVENCIONES;NS/NC;Único;Ciencias Económicas;2025-08-29;2025-09-01;Centro de Congresos y Exposiciones de San Rafael;CORPORATIVO;Consejo Profesional de Ciencias Económicas de Mendoza;https://cpcemza.org.ar/A6122_encuentro-presente-y-futuro-de-la-profesion-en-san-rafael
Mendoza Más Comercio habilitó un nuevo espacio de capacitación;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (Litoral);Único;Desarrollo de la experiencia del cliente;2025-08-24;2025-08-24;La Enoteca;Corporativo;Gobierno de Mendoza - Ministerio de Producción;https://www.mendoza.gov.ar/prensa/mendoza-mas-comercio-celebro-un-nuevo-espacio-de-capacitacion-para-fortalecer-al-sector-comercial/
Enclave Petróleo;Congreso;Congresos y Convenciones;Nacional;Único;Energía y minería;2025-08-20;2025-08-20;Universidad Nacional del Noroeste de Buenos Aires (UNNOBA) - Sede Junín;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/cornejo-en-el-club-del-petroleo-la-alta-institucionalidad-de-mendoza-es-la-base-para-atraer-inversiones-y-recuperar-la-produccion-petrolera/
Encuentro Regional de Juventudes de Cuyo;Encuentro;Congresos Y Convenciones;Nacional;Irregular;Juventud;2025-08-09;2025-08-17;Polideportivo Juan Domingo Ribosqui;Corporativo;Red Argentina de Juventudes;https://www.maipu.gob.ar/maipu-encuentro-regional-de-juventudes-de-cuyo/
Concurso de Jerarquía Directiva;Concurso;CONGRESOS Y CONVENCIONES;Desconocido;Único;Educación;2025-02-01;2026-01-01;Teatro Independencia;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/concurso-de-jerarquia-directiva-los-jurados-preparan-la-correccion-de-la-segunda-instancia/
Cursos Repar Repriv 2025;Congreso;Congresos y Convenciones;Nacional - Regional (Centro);único;Seguridad Privada;2025-09-01;2025-09-30;Universidad de Mendoza (UM);Asociativo;Universidad de Congreso;https://www.ucongreso.edu.ar/mendoza-cursos-repar-repriv-2025/
Congreso de Educación Física 2025;Congreso;Congresos y Convenciones;Nacional;Único;Educación Física;2025-08-13;2025-08-14;Espacio Cultural Julio Le Parc;Académico;Municipalidad de Guaymallén;https://www.guaymallen.gob.ar/mas-de-dos-mil-personas-participan-del-congreso-de-educacion-fisica-2025/
Ecos Sanmartinianos;Jornada;Desconocida;;Único;Arte, Literatura e Historiografía;2025-08-20;2025-08-20;Universidad de Mendoza (UM);Académico;"Instituto de Historia Americana y Argentina ""Dr. Edberto Oscar Acevedo"", Centro de Estudios de Literatura de Mendoza (CELiM), Biblioteca y Secretaría de Extensión Universitaria de la FFyL de la UNCUYO";https://ffyl.uncuyo.edu.ar/cursos/item/ecos-sanmartinianos-en-torno-al-congreso-sanmartiniano-y-ano-del-libertador-general-san-martin-1950-en-mendoza-arte-literatura-e-historiografia
Congreso de Educación, Neurociencias y contextos de IA;Congreso;CONGRESOS Y CONVENCIONES;Desconocido;Único;Educación, Neurociencias e Inteligencia Artificial;2025-09-15;2025-09-15;Centro de Congresos y Exposiciones de San Rafael;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/congreso-de-educacion-neurociencias-y-contextos-de-ia/
Liderazgo, Desarrollo y Gestión de Organizaciones del Deporte;Congreso;CONGRESOS Y CONVENCIONES;Local;Único;Liderazgo y gestión de organizaciones deportivas;2025-09-03;2026-01-01;Centro de Congresos y Exposiciones Francisco;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/diplomatura-universitaria-en-liderazgo-desarrollo-y-gestion-de-organizaciones-del-deporte/
Expo Foro 2025 Mendoza Industrial;Exposición;Congresos y Convenciones;Nacional - Regional (Mendoza);Único;Producción Sostenible;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Corporativo;ASINMET, FEM, Gobierno de Mendoza, Municipalidad de Guaymallén, UNCuyo y otras instituciones;https://www.guaymallen.gob.ar/guaymallen-se-prepara-para-recibir-la-expo-foro-2025-mendoza-industrial-produccion-sostenible/
Presentación libro: Derecho Procesal Constitucional Instituciones en el Orden Nacional y Provincial;Congreso;Congresos y Convenciones;Nacional;Único;Derecho Procesal Constitucional;2025-08-25;2025-09-17;Universidad de Mendoza (UM);Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/presentacion-libro-derecho-procesal-constitucional-instituciones-en-el-orden-nacional-y-provincial/
Meet Up Argentina;Desconocido;Desconocida;Desconocido;Único;Turismo de eventos;2025-08-06;2025-08-07;Hotel Termas de Cacheuta;Asociativo;AOCA;https://www.mendoza.gov.ar/prensa/mendoza-dijo-presente-en-la-principal-feria-de-turismo-de-eventos-del-pais/
Desconocido;Desconocido;Desconocida;Desconocido;Desconocida;Desconocido;2025-01-01;2025-01-01;Facultad Don Bosco de Enología y Ciencias de la Alimentación;Educación;Desconocida;https://um.edu.ar/noticias/preuniversitarios-2025-26-inscripciones-abiertas/
Desafío Pro Bono 2025;Encuentro;Congresos y Convenciones;Único;Único;Derecho;2025-08-04;2025-08-06;Universidad Champagnat - Sede San Rafael;Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/abogacia-desafio-pro-bono-2025/
DEAs 2025;Conferencia;CONGRESOS Y CONVENCIONES;Local;Único;Inteligencia Artificial y Auditoría Interna;2025-08-28;2025-01-01;Universidad Nacional de Cuyo (UNCUYO);Corporativo;Consejo Profesional de Ciencias Económicas de Mendoza;https://cpcemza.org.ar/C1003_deas-2025
Virtuoso Travel Week;Congreso;Desconocida;Nacional;Irregular;Turismo;2025-08-09;2025-08-15;Hotel Raíces Aconcagua;Desconocida;Emetur;https://www.mendoza.gov.ar/prensa/emetur/page/2/
Social Media Day Mendoza 2025;Jornada;Congresos y Convenciones;Local;Único;Tecnología;2025-08-07;2025-01-01;No se puede determinar la sede con la información proporcionada.;Asociativo;Social Media Day Argentina;https://www.eventbrite.com.ar/e/social-media-day-mendoza-2025-tickets-1353441523029
Natural Race 2025;Maratón;CONGRESOS Y CONVENCIONES;Local;Único;Deporte y ocio;2025-09-21;2025-09-21;Parque Deportivo de Montaña;Asociativo;Vaypol y Saucony;https://www.mendoza.gov.ar/prensa/llega-natural-race-2025-una-excelente-oportunidad-para-disfrutar-del-aire-libre-y-el-deporte/
Concurso Emprendimiento Argentino;Ferias y Exposiciones - Exposición;Congresos y Convenciones - Asamblea;Nacional;Unico;Emprendimiento;2025-08-01;2025-08-01;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Ciencias Aplicadas a la Industria;Corporativo;Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento de la Nación;https://www.mendoza.gov.ar/prensa/mendoza-ya-tiene-sus-finalistas-para-el-concurso-emprendimiento-argentino-2025-once-proyectos-competiran-por-el-reconocimiento-nacional/
Manso Menú;Congreso;Congresos y convenciones;Nacional - Regional (Centro);Anual;Turismo;2025-08-01;2025-08-31;Universidad de Mendoza (UM);Corporativo;Emetur;https://www.mendoza.gov.ar/prensa/emetur/page/3/
