nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
Jornada de Conjuntos Inmobiliarios y Propiedad Horizontal;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Derecho;2025-06-13;2025-06-13;Facultad de Derecho UNCUYO;Académico;Facultad de Derecho UNCUYO;https://derecho.uncuyo.edu.ar/primera-jornada-nacional-de-propiedad-horizontal-y-conjuntos-inmobiliarios
Jornadas Apícolas de San Rafael;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Agricultura y ganadería;2025-05-30;2025-05-31;Facultad de Ciencias Aplicadas a la Industria;Académico;Facultad de Ciencias Aplicadas a la Industria;https://fcai.uncuyo.edu.ar/mas-alla-de-la-colmena-jornadas-apicolas-de-san-rafael
Asamblea Ordinaria 2025;Asamblea;CONGRESOS Y CONVENCIONES;Local;Anual;Economía;2025-05-22;2025-05-22;Campus Dr. Manuel Belgrano del Consejo Profesional de Ciencias Económicas de Mendoza;Gubernamental;Consejo Profesional de Ciencias Económicas de Mendoza;https://cpcemza.org.ar/A6071_consenso-y-participacion-en-la-asamblea-ordinaria-2025-
Jornada de maniobras operativas interprovinciales;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Irregular;Seguridad;2025-05-14;2025-05-14;Jocolí, Lavalle;Gubernamental;Policías de Mendoza, San Luis, y San Juan, junto a Gendarmería Nacional;https://www.mendoza.gov.ar/prensa/mas-de-600-personas-fueron-controladas-en-operativos-interprovinciales-entre-mendoza-san-juan-y-san-luis/
Jornadas-Taller de Redacción de Escritos Judiciales bajo la óptica del Código Procesal Civil, Comercial y Tributario de la Provincia de Mendoza;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Derecho;2025-06-02;2025-06-11;Facultad de Derecho UNCUYO;Académico;Cátedras de Derecho Procesal Civil y Comercial, Parte General de la FD UNCUYO;https://derecho.uncuyo.edu.ar/jornadas-taller-de-redaccion-de-escritos-judiciales-bajo-la-optica-del-codigo-procesal-civil-comercial-y-tributario-de-la-provincia-de-mendoza
Facultad Abierta 2025;Jornada;CONGRESOS Y CONVENCIONES;Desconocido;Único;Educación;2025-05-30;2025-05-30;Facultad de Ciencias Económicas - UNCUYO;Académico;Facultad de Ciencias Económicas de la UNCUYO;https://fce.uncuyo.edu.ar/facultad-abierta-2025
3er Encuentro -Programa Líderes de Asistencia 2025;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Educación;2025-05-30;2025-05-30;Mendoza;Gubernamental;Subsecretaría de Educación;https://www.mendoza.edu.ar/memorandum-102-primaria-3er-encuentro-programa-lideres-de-asistencia-2025/
3er Encuentro Formativo 2025 – Líderes de Asistencia;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Educación;2025-05-08;2025-05-08;Mendoza;Gubernamental;Subsecretaría de Educación;https://www.mendoza.edu.ar/memorandum-72-primaria-tercer-encuentro-formativo-2025-en-el-marco-del-programa-lideres-de-asistencia-2025/
Quinto Encuentro de Formación – Fortalecimiento de Trayectorias para MDT y Docentes de Ampliación;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Educación;2025-05-26;2025-05-26;Mendoza;Gubernamental;Subsecretaría de Educación;https://www.mendoza.edu.ar/memorandum-89-primaria-quinto-encuentro-de-formacion-fortalecimiento-de-trayectorias-2025-para-mdt-y-docentes-de-ampliacion/
Primer Congreso Nacional de Policías Turísticas;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Seguridad;2025-05-15;2025-05-15;Salta;Corporativo;UPAT;https://www.mendoza.gov.ar/prensa/mendoza-presento-su-modelo-de-seguridad-turistica-en-un-encuentro-nacional/
Congreso Nacional de Cardiología 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional; Único;Prevención de enfermedades cardiovasculares;2025-05-29;2025-05-31;Mendoza;Gubernamental;Gobierno de la provincia de Mendoza;https://www.mendoza.gov.ar/prensa/con-la-participacion-de-referentes-mundiales-de-la-especialidad-se-realizara-en-mendoza-el-congreso-nacional-de-cardiologia-2025/
Primer Encuentro Mendocino de Pastelería;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Arte y diseño;2025-06-14;2025-06-15;Espacio Arizu (calle Belgrano 1322);Corporativo;Municipalidad;https://www.godoycruz.gob.ar/godoy-cruz-sera-sede-del-primer-encuentro-mendocino-pasteleria/
Reuniones de trabajo sobre gestión integrada de residuos de Mendoza;Encuentro;CONGRESOS Y CONVENCIONES;Nacional;Anual;Gestión de residuos;2025-01-01;2025-05-31;San Rafael, General Alvear y Malargüe;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/con-tres-encuentros-en-el-sur-mendoza-concluyo-las-reuniones-de-trabajo-de-cara-a-la-ley-para-la-gestion-integrada-de-los-residuos-de-la-provincia/
Reunión de trabajo con autoridades brasileras;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Anual;Cooperación económica entre Mendoza y Brasil;2025-07-01;2025-11-30;Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-y-brasil-consolidan-su-agenda-de-cooperacion-para-el-desarrollo-de-potasio-y-obras-estrategicas/
XIII Encuentro de Investigadores y docentes de Ingeniería;Desconocido;Congresos y Convenciones;Provincial;Único;Desarrollo tecnológico e innovación;2025-10-15;2025-10-17;Los Reyunos, San Rafael, Mendoza;Asociativo;EnIDI (Evento de Investigación de Ingeniería);https://ingenieria.uncuyo.edu.ar/investigacion/evento-1
Expo Foro Mendoza Industrial 2025: Producción Sostenible;Conferencia;Congresos y Convenciones;Nacional - Regional (Litoral);Único;Industria sustentable;2025-09-02;2025-09-04;Espacio Cultural Julio Le Parc;Corporativo;Federación Económica de Mendoza;https://femza.org.ar/2025/05/16/inteligencia-artificial-para-negocios-minoristas/
Encuentro Godoy Cruz por la Copa Sudamericana;Encuentro;CONGRESOS Y CONVENCIONES;Nacional;Único;Deporte y ocio;2024-05-29;2024-05-29;Estadio Malvinas Argentinas;Asociativo;Prensa Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/operativo-policial-y-tecnologico-para-el-encuentro-godoy-cruz-por-la-copa-sudamericana/
Jornada sobre el funcionamiento de la Oficina de Conciliación Civil y Comercial (OCC);Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Funcionamiento de la Oficina de Conciliación Civil y Comercial (OCC);2024-05-23;2024-05-23;Desconocida;Corporativo;Colegio de Abogados y Procuradores de Mendoza;https://colabogmza.com.ar/tag/occ/
XIII EnIDI;Congreso;CONGRESOS Y CONVENCIONES;Local;Único;Ingenieria;2025-10-15;2025-10-17;Los Reyunos, San Rafael;Academico;Facultad de Ingenieria;https://ingenieria.uncuyo.edu.ar/ya-se-pueden-presentar-trabajos-para-el-xiii-enidi
Concurso de Jerarquía Directiva;Concurso de Jerarquía Directiva;CONGRESOS Y CONVENCIONES;Regional, Nacional - Regional;Único;Educación;2024-01-01;2025-05-14;Mendoza;Gubernamental;Subsecretaría de Educación DGE;https://www.mendoza.edu.ar/concurso-de-jerarquia-directiva-listado-de-escuelas-asignadas/
Primer Congreso de Niñez y Adolescencia en la zona Este;Congreso;Congresos y Convenciones;Provincial;Único;Niñez y Adolescencia;2025-05-15;2025-05-17;Departamento de San Martín, Centro de Congresos y Exposiciones y Escuela de Oficios Manuel Belgrano;Académico;El Perrupato;https://www.mendoza.gov.ar/prensa/el-perrupato-organiza-el-1o-congreso-de-ninez-y-adolescencia-en-la-zona-este/
Congreso Mundial sobre Justicia con la Niñez;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Justicia y prevención de la violencia hacia niñas, niños y adolescentes;2025-05-23;2025-06-01;Buenos Aires;Corporativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-dijo-presente-en-el-congreso-mundial-sobre-justicia-con-la-ninez/
Congreso Nacional de Cardiología 2025;Congreso;Asamblea, Conferencia, Congreso, Convención, Encuentro, Foro, Jornada, Seminario, Simposio;Nacional;Único;Salud pública y prevención cardiovascular;2025-05-29;2025-05-29;Mendoza;Congresos y Convenciones;Municipalidad de Guaymallén;https://www.guaymallen.gob.ar/guaymallen-presente-en-el-xlii-congreso-nacional-de-cardiologia-2025-mas-de-7000-vecinos-capacitados-y-una-red-activa-de-respuesta/
XLII Congreso Nacional de Cardiologia;Congreso;Congresos y Convenciones;Nacional;Único;Cardiología;2025-05-20;2025-01-01;Universidad de Mendoza, Facultad de Ciencias Médicas;Gubernamental;Universidad de Mendoza;https://um.edu.ar/noticias/xlii-congreso-nacional-de-cardiologia/
I Congreso Iberoamericano de Criminología Aplicada;Congreso;CONGRESOS Y CONVENCIONES;Local;Único;Política Criminal y Criminología Criminología aplicada al ámbito penitenciario Políticas públicas y juegos online Delito adolescente y neurociencias;2025-05-02;2025-05-31;Universidad del Aconcagua;Asociativo;Universidad del Aconcagua;https://www.uda.edu.ar/index.php/noticias-psi/1680-i-congreso-iberoamericano-de-criminologia-aplicada
Congreso Nacional de Cardiología;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Anual;Cardiología;2025-05-29;2025-05-31;Hotel Hilton Mendoza, Mendoza;Corporativo;Municipalidad de Guaymallén;https://www.guaymallen.gob.ar/salud-y-prevencion-controles-gratuitos-en-la-terminal-de-mendoza-por-el-dia-de-la-hipertension-y-el-congreso-nacional-de-cardiologia/
Seminario sobre sistemas adversariales y juicio por jurados - Un enfoque comparado ;Seminario;Congresos y convenciones;Provincial;Único;Sistemas adversariales y juicio por jurados;2025-06-05;2025-06-06;Polo Judicial Penal (Mendoza);Académico;Universidad de Congreso;https://www.ucongreso.edu.ar/seminario-sobre-sistemas-adversariales-y-juicio-por-jurados-un-enfoque-comparado/
Best Of Mendoza’s Wine Tourism;Conferencia;Congresos y Convenciones;Local;Anual;Vitivinicultura y Turismo del Vino;2025-05-28;2025-09-19;Auditorio Ángel Bustelo;Académico;Emetur y ProMendoza;https://www.mendoza.gov.ar/prensa/se-presentaron-las-bases-de-la-20-edicion-de-los-best-of-wine-tourism/
Congreso Nacional de Cardiología 2025;Congreso;CONGRESOS Y CONVENCIONES;NS/NC;NS/NC;Salud;2025-05-29;2025-05-31;Mendoza;Gubernamental;Organizado por la región de Cuyo;https://www.mendoza.gov.ar/prensa/archivo/page/141/
Congreso Internacional sobre Regionalización, Gobernanza y Desarrollo;Congreso;Asamblea;Nacional;Irregular;Gobierno ;2025-05-01;2025-05-05;Ciudad de Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/gobernacion/page/12/
Offshore Technology Conference;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Anual;Hidrocarburos;2024-01-01;2025-05-05;Houston, Estados Unidos;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/offshore-technology-conference-el-gobierno-de-mendoza-presento-su-estrategia-hidrocarburifera-ante-lideres-globales-del-sector-energetico/
Workshop internacional sobre Estr√s Mitocondrial, Melatonina y Enfermedades Neurodegenerativas;Conferencia;CONGRESOS Y CONVENCIONES;Internacional - Iberoam√•rica;Único;Acu√±aico, Medicina, Neurociencia;2025-05-05;2025-05-05;Facultad de Ciencias M√edicas de la UNCuyo;Acad√емico;Universidad Nacional de Cuyo;https://fcm.uncuyo.edu.ar/workshop-internacional-sobre-estres-mitocondrial-melatonina-y-enfermedades-neurodegenerativas
AmCham Summit 2025;Conferencia;Congresos y Convenciones;Internacional - Iberoamérica;Único;Una Argentina viable: apertura económica y desarrollo productivo;2025-05-20;2025-05-20;Desconocida;Corporativo;Cámara de Comercio de los Estados Unidos en Argentina;https://www.mendoza.gov.ar/prensa/el-gobernador-cornejo-en-amcham-tenemos-una-economia-esforzada-en-mendoza-que-necesita-estabilidad-macroeconomica/
Wine Expo;Exposición;Desconocida;Desconocido;Anual;Vinos;2025-01-01;2025-01-01;Desconocida;Gubernamental;Desconocida;https://mendoza.puntoapunto.com.ar/wine-expo-2025-comenzo-la-preventa-de-entradas-para-la-feria-de-vinos-mas-convocante-de-mendoza/
Maratón Internacional de Mendoza (MIM 2025);Eventos Deportivos Internacionales;Otro tipo de evento;Local;Irregular;Deporte y ocio;2025-05-04;2025-05-04;Mendoza;Asociativo;Fundación Filipides y Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-se-prepara-para-vivir-una-nueva-edicion-de-la-maraton-internacional-una-fiesta-del-deporte-la-inclusion-y-la-juventud/
Maratón Internacional de Mendoza;Evento Deportivo Internacional;FUERA DEL ALCANCE DEL OETR;regional;Único;Deporte y ocio;2025-05-04;2025-05-04;Ciudad y Godoy Cruz;Asociativo;MendoVoz;https://www.mendovoz.com/deportes/polideportivo/2025/5/2/las-calles-que-se-veran-afectadas-el-domingo-por-la-maraton-internacional-de-mendoza-155704.html
Arminera 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Anual;Minería sustentable;2025-05-22;2025-05-31;Mendoza;Académico;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-reafirmo-su-modelo-de-mineria-sustentable-en-arminera-2025/
Competencias Interuniversitarias 2025;Competencia Deportiva;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Irregular;Deporte;2025-05-06;2025-05-06;Mendoza;Desconocida;Universidad Juan Agustín Maza;https://www.umaza.edu.ar/rector-daniel-miranda-sobre-las-competencias-interuniversitarias
Enfrentando los desafíos en la implementación de los resultados de la investigación en la resolución de problemas prioritarios de salud;Congreso;Desconocida;Desconocido;Único;Salud;2025-01-01;2025-01-01;Desconocida;Desconocida;Desconocida;https://fcm.uncuyo.edu.ar/no-se-publica
Simposio sobre Obesidad y Embarazo;Simposio;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Salud;2023-05-23;2023-05-24;Hospital Regional Malargüe;Gubernamental;Administración del Hospital Regional;https://www.malargueadiario.com/el-hospital-regional-sera-sede-del-simposio-sobre-obesidad-y-embarazo/
Comienzo de actividades del Consejo Tributario en Malargüe;Congreso;Congresos y convenciones;Nacional - Regional (Centro);Único;Tributación;2025-05-22;2025-05-22;Malargüe;Gubernamental;Administración Tributaria Mendoza;https://www.mendoza.gov.ar/prensa/el-consejo-tributario-comenzo-sus-actividades-en-malargue/
Feria de Ciencias 2025;Exposición;FERIAS Y EXPOSICIONES;Local;Único;Ciencias;2025-05-01;2025-05-30;Mendoza;Desconocida;Educación;https://www.mendoza.edu.ar/memorandum-112-sub-educacion-cronograma-feria-de-ciencias-2025/
Arminera 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Minería;2025-01-01;2025-01-01;La Rural, Buenos Aires;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/cornejo-en-arminera-hay-una-oportunidad-historica-y-mendoza-esta-lista-para-aprovecharla/
