nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora
Congreso Internacional sobre Regionalización, Gobernanza y Desarrollo;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Único;Desarrollo territorial en regiones;2025-04-29;2025-04-29;Ciudad de Mendoza;Gubernamental;Gobierno de Mendoza
Presentación especial sobre Mendoza como destino dedicado al turismo MICE;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Turismo MICE;2025-04-28;2025-04-28;Mendoza;Corporativo;Mendoza Bureau
Residencias en Salud 2025;Congreso;Asamblea;Nacional;Trimestral;Salud;2025-04-29;2025-09-01;Casa de Gobierno, ala Este, plata baja, oficina 17;Académico;Gobierno de Mendoza
Premios Huarpe y Cruz al Mérito Deportivo;CONGRESOS Y CONVENCIONES;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Único;Deporte;2025-04-10;2025-04-10;Auditorio Ángel Bustelo;Gubernamental;Círculo de Periodistas Deportivos de Mendoza
Renovación anual de autoridades de ProMendoza;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Anual;Internacionalización de la producción, promoción de inversiones y promoción comercial de la provincia;2025-04-23;2026-04-22;Mendoza;Corporativo;Fundación ProMendoza
WICC 2025;Congreso;Congresos y Convenciones;Nacional;Único;Tecnología;2025-03-25;2025-04-01;Mendoza;Académico;Universidad Nacional de Cuyo
Expo Mendocann;Feria;FERIAS Y EXPOSICIONES;Local;Único;Cultivo, industria, medicina y innovación;2025-04-11;2025-04-12;Espacio Arizu, Godoy Cruz;Asociativo;Mendocann
Expo Educativa 2019;Exposición;Desconocida;Desconocido;Desconocida;Educación;2019-06-12;2019-06-14;Mendoza;Asociativo;Facultad de Ciencias Políticas y Sociales
Seminario Internacional de Cerezas Frescas Tempranas 2025;Congreso;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Cerezas Frescas Tempranas;2025-03-04;2025-03-04;Mendoza;Académico;Cámara de Cerezas de Mendoza y Ministerio de Producción
Dibujando arquitectura;Seminario;Congresos y Convenciones;Nacional - Regional (Centro);Único;Dibujos y Arquitectura;2025-04-25;2025-04-25;Biblioteca de la Regional Centro;Gubernamental;Colegio de Arquitectos de Mendoza
Seminario permanente de Filosofía Jurídica: Él es la Filosofía Política?;Seminario;Seminario permanente de Filosofía Jurídica;Local;Permanente;Filosofía Política;2025-04-24;2025-04-24;Facultad de Ciencias Jurídicas y Sociales de la UM;Académico;Universidad de Mendoza
IV Seminario de Cerezas Frescas Tempranas;Seminario;CONGRESOS Y CONVENCIONES;Local;Único;Cerezas;2025-04-05;2025-04-07;La Nave Cultural de la Ciudad de Mendoza;Gubernamental;Gobierno de Mendoza, Fondo de Integración y Desarrollo de la Cereza de Mendoza (FIDEC) y la Cámara de Cerezas de Mendoza
Cambio de Abanderados y Escoltas del Ciclo Lectivo 2025;Jornada;CONGRESOS Y CONVENCIONES;Local;Unico;Educacion;2025-05-09;2025-05-09;Auditorio Ángel Bustelo, Mendoza;Academico;Universidad Juan Agustín Maza
Música Clásica por los Caminos del Vino;Concierto;Congresos y Convenciones;Nacional;Anual;Música;2025-04-12;2025-04-12;Teatro Independencia;Gubernamental;Gobierno de Mendoza
I Congreso Internacional de Emprendedurismo: Formación, Investigación y Desarrollo;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Emprendedurismo;2025-04-08;2025-04-11;Sede Gran Mendoza de la UMaza;Académico;Universidad Juan Agustín Maza
Real Betis Camp Mendoza;Evento Deportivo Internacional;FUERA DEL ALCANCE DEL OETR;Nacional - Regional (Cuyo);Único;Deporte y ocio;2025-07-16;2025-07-18;Calle Espejo esquina Calle Pública s/n, Mendoza;Asociativo;Real Betis Balompié y FADEP
Genética, Sociedad e Identidad: raíces que unen;Jornada;CONGRESOS Y CONVENCIONES;Local;Únyo;Genética;2025-01-01;2025-12-31;Facultad de Ciencias Médicas de la UNCUYO;Académico;Facultad de Ciencias Médicas de la UNCUYO
Día del médico clínico y la médica clínica;Jornada;CONGRESOS Y CONVENCIONES;Único;Anual;Medicina;2025-04-11;2025-04-11;Facultad de Ciencias Médicas de la UNCUYO;Académico;Foro de Medicina Clínica
Firma de convenios para la reinserción social y laboral;Convención;CONGRESOS Y CONVENCIONES;Único;Único;Reinserción social y laboral;2025-04-15;2025-04-15;Mendoza;Gubernamental;Gobierno de Mendoza
Capacitación inicial en mantenimiento y operatividad de equipos viales: motoniveladora y retroexcavadora;Capacitación;CONGRESOS Y CONVENCIONES;Local;Único;Industria/Industrial;2025-04-08;2025-04-08;Mendoza;Gubernamental;Vialidad Mendoza y la Cámara Argentina de la Construcción
Vinexpo Explorer Mendoza;Exposición;FERIAS Y EXPOSICIONES;Nacional;Anual;Vitivinícolas;2025-10-06;2025-10-09;Mendoza;Corporativo;ProMendoza
Feria de Ciencias STEAM 2025;Exposición;FERIAS Y EXPOSICIONES;Local;Irregular;Ciencias naturales y exactas;2025-04-05;2025-04-05;Mendoza;Académico;Mendoza
